name,rank,brewery,style,n_ratings,avg_rating,beer_info_page,abv,BA_official_score,ranking_vs_all,rating_deviation,location,status,last_rated,date_added,n_wants,n_gots,country,state,style_family,substyle,notes
The Standard,3,Notch Brewing,Pilsner - Bohemian / Czech,40,4.28,/beer/profile/22723/256983/,4.4,94.0,2917,7.01,Massachusetts,Active,"May 08, 2022",2016-11-19,4,2,USA,Massachusetts,Pilsner,Bohemian / Czech,None
Pilsner,4,Dovetail Brewery,Pilsner - Bohemian / Czech,44,4.24,/beer/profile/45802/257485/,4.6,93.0,3587,6.13,Illinois,Active,"Apr 21, 2022",2016-11-24,6,1,USA,Illinois,Pilsner,Bohemian / Czech,"This pilsner is a showcase for Czech hops, brewed with 100% Pilsner malt and heaven's water. A Chicago recreated version of the soft water of Plzen."
Desítka,5,Notch Brewing,Pilsner - Bohemian / Czech,17,4.4,/beer/profile/22723/480027/,4.2,94.0,2759,6.59,Massachusetts,Active,"Jan 17, 2021",2020-04-19,2,1,USA,Massachusetts,Pilsner,Bohemian / Czech,None
Pils,6,Heater Allen Brewing,Pilsner - Bohemian / Czech,165,4.14,/beer/profile/16378/40061/,5.0,92.0,5153,9.42,Oregon,Active,"May 15, 2022",2007-12-15,43,18,USA,Oregon,Pilsner,Bohemian / Czech,"Formerly known as ""Pale Lager Beer""  This is our take on the renowned Bohemian-style pale lager that you might find in Bavaria or the Czech Republic. When coming up with the recipe for Pils owner/brewmaster, Rick, brewed 17 batches of this beer to make it perfect. The recipe is based on the traditional and beloved Pilsner Urquell, which is why we have chosen not to filter our beer and why our lagering time is as long as it is--from brewday to when we can or keg Pils it is at least eight weeks. Our Pilsner is a little more golden, rounder, and a little more malt driven than many other versions. The beer possesses strong hop character that is balanced by its rich, round, malty palate. Refreshing and balanced.  1.012 BG, 38 IBU, 3.8 SRM"
Quiet Life,7,Fox Farm Brewery,Pilsner - Bohemian / Czech,45,4.21,/beer/profile/45832/342782/,5.5,93.0,4286,5.46,Connecticut,Active,"May 11, 2022",2018-05-03,3,1,USA,Connecticut,Pilsner,Bohemian / Czech,"Quiet Life, our Czech-Style Pils, is made with Bohemian Pilsner malt and floral/earthy/straight-up tasty Saaz hops."
Tenner,8,Notch Brewing,Pilsner - Bohemian / Czech,18,4.34,/beer/profile/22723/323874/,4.0,93.0,3505,4.84,Massachusetts,Active,"Apr 24, 2022",2018-01-25,2,1,USA,Massachusetts,Pilsner,Bohemian / Czech,None
Saaz Pilsner,9,Minneapolis Town Hall Brewery,Pilsner - Bohemian / Czech,17,4.33,/beer/profile/1177/48235/,5.7,93.0,3848,5.54,Minnesota,Active,"Nov 29, 2020",2009-03-02,4,0,USA,Minnesota,Pilsner,Bohemian / Czech,None
Pilsner Urquell Nefiltrovaný,10,Plzeňský Prazdroj,Pilsner - Bohemian / Czech,61,4.14,/beer/profile/1/104844/,4.4,92.0,5994,11.84,Czech Republic,Active,"Mar 06, 2022",2013-11-09,13,15,Czech Republic,,Pilsner,Bohemian / Czech,"Pilsner Urquell Nefiltrovaný (unfiltered) is available on the Plzensky Prazdroj tour and at Na Parkanu in Plzen. A limited number of kegs are exported for special events. Though the beer is not kvasnicovy (yeast beer), as there is no wort or young yeast added, it is unpasteurized and unfiltered."
All Mammals Play,11,Sante Adairius Rustic Ales,Pilsner - Bohemian / Czech,14,4.36,/beer/profile/28019/414400/,5.5,93.0,3945,3.9,California,Active,"Jan 02, 2022",2019-05-03,0,0,USA,California,Pilsner,Bohemian / Czech,None
Alexandr 10°,12,Schilling Beer Co.,Pilsner - Bohemian / Czech,157,4.08,/beer/profile/32906/170785/,5.0,91.0,7554,7.6,New Hampshire,Active,"May 23, 2022",2015-05-04,7,16,USA,New Hampshire,Pilsner,Bohemian / Czech,"Alexandr 10˚ (Czech-style Pilsner), 5.0% abv. A sessionable pale lager inspired by similar Czech beers. Premium authentic raw materials shine, including Moravian pilsner malt—foundational to the substantial but rounded hop flavor and aroma."
Bohemian Pilsner,13,Goldfinger Brewing Company,Pilsner - Bohemian / Czech,16,4.28,/beer/profile/59683/540909/,5.0,92.0,5066,4.21,Illinois,Active,"May 23, 2022",2021-03-27,1,0,USA,Illinois,Pilsner,Bohemian / Czech,"Traditionally brewed using soft Plzn water, 100% Czech Saaz hops, and triple decocted. This beer exemplifies Czech brewing techniques and ingredients. Beginning with sweet organic honey on the nose, followed by a deep and complex malt flavor that is balanced out by a spicy and herbal hop character. A firm bitterness throughout helps balance the sweetness from the malt and dry the mouth leaving it beckoning for another sip."
Sugar Creek Pilsner,14,Dovetail Brewery,Pilsner - Bohemian / Czech,10,4.4,/beer/profile/45802/584155/,4.0,92.0,4580,4.77,Illinois,Active,"Mar 13, 2022",2022-01-04,0,0,USA,Illinois,Pilsner,Bohemian / Czech,"New year, new beer! Sugar Creek Pilsner is a beer about 80 years in the making—but we'll start 5 years ago when the folks from the Midwestern malt house Sugar Creek Malt Company brought back 200g of seed of an heirloom winter 2-row barley originally grown outside of Vienna that hasn't been seen since WWII.  Caleb and his family hand-harvested this descendent of a Moravian-Haná variety until they were able to grow that original 200g seed packet to 10,000lbs of grain and called it Edelweiss. A select number of breweries were able to brew with Edelweiss this year.  For our Edelweiss beer, we triple-decocted, coolshipped and open-fermented before it went into extended lagering, just like they might have done all those years ago. A very easy drinking 4% ABV, the malt showcases notes of flour and bread dough, while the herbal and spicy Saaz hop balances. Enjoy a couple, two, tree!"
Aosta,15,Schilling Beer Co.,Pilsner - Bohemian / Czech,28,4.16,/beer/profile/32906/529649/,5.0,91.0,6664,4.57,New Hampshire,Active,Monday at 11:46 PM,2021-01-15,0,2,USA,New Hampshire,Pilsner,Bohemian / Czech,None
CZAF,16,Wayfinder Beer,Pilsner - Bohemian / Czech,41,4.1,/beer/profile/45456/320842/,4.9,91.0,8083,7.8,Oregon,Active,Yesterday at 05:59 PM,2018-01-06,1,0,USA,Oregon,Pilsner,Bohemian / Czech,"Boiled Bohemian malt, heavily hopped with Saaz. Traditional and idyllic."
Side Pull,17,Fair State Brewing Cooperative,Pilsner - Bohemian / Czech,20,4.19,/beer/profile/35996/507574/,4.1,91.0,6644,7.88,Minnesota,Active,"May 12, 2022",2020-09-13,0,0,USA,Minnesota,Pilsner,Bohemian / Czech,"Czech-style pale lager collaboration with Bierstadt Lagerhaus (Denver, CO), makers of the famed “Slow Pour” Pils. Soft, malty, and crisp, this is a “10 degree” Czech-style decoction-mashed pale lager, brewed entirely with Czech-grown ingredients. “Side Pull” refers to the iconic Czech-style beer faucet that produces an especially velvety, tight bubble foam. Best served with as much jiggly foam as you can muster. Live life above the rim."
Good Vibe Pils,18,Anchorage Brewing Company,Pilsner - Bohemian / Czech,11,4.32,/beer/profile/24903/318717/,5.0,92.0,5688,4.86,Alaska,Active,"Nov 01, 2020",2017-12-27,1,0,USA,Alaska,Pilsner,Bohemian / Czech,None
Bohemian Shine,19,Castle Island Brewing Co.,Pilsner - Bohemian / Czech,16,4.2,/beer/profile/43244/451040/,4.9,91.0,7094,6.67,Massachusetts,Active,"Jan 30, 2022",2019-11-23,0,1,USA,Massachusetts,Pilsner,Bohemian / Czech,A crisp and delicate lager brewed with 100% floor-malted Bohemian Pilsner malt.
Scrag Mountain Pils,20,Lawson's Finest Liquids,Pilsner - Bohemian / Czech,193,4.0,/beer/profile/17980/377922/,4.8,89.0,11257,7.0,Vermont,Active,"May 29, 2022",2018-10-27,4,12,USA,Vermont,Pilsner,Bohemian / Czech,Scrag Mountain Pils was inspired by the traditional Czech Pilsner style. Our house lager is a tribute to the source of Waitsfield’s town water and the aquifer deep beneath Scrag Mountain.
10°,21,Urban Roots Brewing & Smokehouse,Pilsner - Bohemian / Czech,15,4.19,/beer/profile/52529/445227/,3.9,91.0,7639,7.16,California,Active,"Mar 12, 2022",2019-10-17,1,0,USA,California,Pilsner,Bohemian / Czech,Czech Style served in a Czech style beer glass and from a traditional “side pull” tap handle for a truly authentic experience. This beer is brewed with 100% Czech grown Saaz hops and floor malted Bohemian Pilsner malt made just outside of Prague (thanks to Weyermann Specialty Malts) which lends it plenty of richness and complexity with a classic hop flavor and aroma.
Duchovni,22,Medusa Brewing Company,Pilsner - Bohemian / Czech,24,4.11,/beer/profile/39308/213054/,5.5,90.0,8820,9.25,Massachusetts,Active,"May 24, 2022",2016-02-02,0,3,USA,Massachusetts,Pilsner,Bohemian / Czech,None
Barmen Pilsner,23,AC Golden Brewing Company,Pilsner - Bohemian / Czech,31,4.08,/beer/profile/17948/19256/,5.1,90.0,9398,7.6,Colorado,Active,"Dec 26, 2021",2005-03-01,7,4,USA,Colorado,Pilsner,Bohemian / Czech,None
Buffalo Czech,24,Shaidzon Beer Co,Pilsner - Bohemian / Czech,18,4.14,/beer/profile/51127/314609/,5.2,90.0,8596,8.94,Rhode Island,Active,"May 21, 2022",2017-11-28,0,0,USA,Rhode Island,Pilsner,Bohemian / Czech,A crisp Czech style pilsner with subtle sweetness and assertive noble hoppiness.
Czech-Style Pilsner,25,Logsdon Farmhouse Ales,Pilsner - Bohemian / Czech,23,4.1,/beer/profile/25710/497950/,4.5,90.0,9286,6.34,Washington,Active,"Feb 18, 2022",2020-07-26,0,0,USA,Washington,Pilsner,Bohemian / Czech,"One malt (Bohemian pilsner) One hop (Czech saaz) One crisp, refreshing lager"
Shipshape,26,Tree House Brewing Company,Pilsner - Bohemian / Czech,24,4.09,/beer/profile/28743/550619/,4.8,90.0,9503,6.6,Massachusetts,Active,"May 30, 2022",2021-05-23,0,0,USA,Massachusetts,Pilsner,Bohemian / Czech,"Shipshape is a Czech-style lager featuring a classic yeast strain, Bohemian pilsner malt, and copious amounts of zesty hand-selected Saaz hops. A carefully constructed beverage, Shipshape undergoes a complex mash program prior to heading to the cellar for lengthy conditioning in horizontal stainless. Patience and a studied construct result in a crisp beer that tastes of potent noble hop character, biscuity malts, light dough, and mild mineral water atop a light body. Enjoy it cold in the heat of the day!"
Palmovka 12°,27,Schilling Beer Co.,Pilsner - Bohemian / Czech,43,4.02,/beer/profile/32906/119520/,5.5,89.0,11302,10.45,New Hampshire,Active,"May 23, 2022",2014-04-28,4,3,USA,New Hampshire,Pilsner,Bohemian / Czech,"Nefiltrovaný (unfiltered) Czech Pilsner. Brewed with all Czech-sourced ingredients, triple-decocted and adhering to a traditional Czech brewing schedule. Notes of baked bread dominate. Rounded bitterness with a silky mouthfeel."
Pilz,28,Live Oak Brewing Company,Pilsner - Bohemian / Czech,339,3.96,/beer/profile/383/1061/,4.7,89.0,13203,11.11,Texas,Active,"Jun 04, 2022",2003-03-23,48,38,USA,Texas,Pilsner,Bohemian / Czech,"Styled after the Bohemian classic, Pilz is a crisp golden pilsner with an assertive hop character. With special Moravian heirloom barley malt, a traditional decoction mash creates a firm yet light body and deep golden color. Cold fermentation with a Czech lager yeast and lengthy secondary conditioning produce a brilliant beer that highlights the spicy and grassy Saaz hops. Authenticity in a glass; Pilz is beer."
Post Rock Pilsner,29,Free State Brewing Co.,Pilsner - Bohemian / Czech,22,4.08,/beer/profile/642/11914/,5.6,90.0,10065,8.09,Kansas,Active,"May 24, 2022",2003-08-03,1,2,USA,Kansas,Pilsner,Bohemian / Czech,"This pilsner has a pleasant malt flavor, a medium body and a finely balanced hop character. Free State uses premium Bohemian pilsner malt and imported specialty malts, along with prized Czech Saaz hops to craft this lager. (O.G. - 13P/1051. Hops - 40 IBUs)"
Lagertha,30,Enegren Brewing Company,Pilsner - Bohemian / Czech,20,4.09,/beer/profile/25260/186521/,5.0,90.0,9962,8.8,California,Active,"May 14, 2022",2015-08-17,0,1,USA,California,Pilsner,Bohemian / Czech,"Lagertha is our take on a classic Czech-style Pilsner. Brewed with traditional European ingredients plus American Mosaic Hops, this is a hoppy twist on a classic style. The beer is crisp, light and complex with hop-forward citrus and fruity flavors with hints of honey and biscuit.  This clean, crisp and refreshing beer is one of our favorites!"
Maly 8°,31,Schilling Beer Co.,Pilsner - Bohemian / Czech,20,4.09,/beer/profile/32906/489677/,3.1,90.0,9964,7.33,New Hampshire,Active,"Apr 27, 2022",2020-06-14,0,3,USA,New Hampshire,Pilsner,Bohemian / Czech,None
Coalesce,32,The Veil Brewing Co.,Pilsner - Bohemian / Czech,33,4.01,/beer/profile/41018/261243/,5.5,89.0,11997,7.48,Virginia,Active,"Apr 09, 2021",2016-12-26,0,1,USA,Virginia,Pilsner,Bohemian / Czech,"Coalesce is 5.5%, more traditional Czech style Pilsner than our dry-hopped Child Support(hoppy Pilsner). Made with floor malted Bohemian Pilsner malt and traditional German hops and lagered for 6 weeks."
Whip,33,Carton Brewing Company,Pilsner - Bohemian / Czech,23,4.04,/beer/profile/26817/497241/,5.0,89.0,11356,6.93,New Jersey,Active,"Apr 14, 2022",2020-07-22,0,1,USA,New Jersey,Pilsner,Bohemian / Czech,None
Cerna Hora,34,L'Amère à Boire,Pilsner - Bohemian / Czech,39,3.99,/beer/profile/1142/3573/,5.0,89.0,12701,9.27,Quebec,Active,"Mar 31, 2022",2002-05-03,4,2,Canada,Quebec,Pilsner,Bohemian / Czech,None
Noble Tendencies,35,The Lost Abbey,Pilsner - Bohemian / Czech,12,4.12,/beer/profile/18149/491790/,5.0,90.0,10392,4.61,California,Active,"Mar 12, 2022",2020-06-27,2,0,USA,California,Pilsner,Bohemian / Czech,"A clean, crisp Pilsner with a refreshing start, leading to bright biscuit notes and finishing smooth and balanced thanks to the Noble hops. May it help guide you through whatever may lie ahead of you, be it Noble or not."
Yore,36,Threes Brewing,Pilsner - Bohemian / Czech,18,4.05,/beer/profile/37460/488931/,3.9,89.0,11494,9.63,New York,Active,"May 31, 2022",2020-06-10,0,2,USA,New York,Pilsner,Bohemian / Czech,"Our latest Czech-style session pilsner, inspired by the rich SVĚTLÉ Pivo brewing tradition. Made with 100% Czech-grown Saaz hops from Live Oak Brewing."
California Dream,37,Mikkeller Brewing San Diego,Pilsner - Bohemian / Czech,81,3.94,/beer/profile/43889/248049/,4.6,88.0,14530,6.35,California,Active,"Aug 30, 2021",2016-09-08,3,9,USA,California,Pilsner,Bohemian / Czech,Czech Style Pils with Ale Yeast.
Jaws,38,Zero Gravity Craft Brewery,Pilsner - Bohemian / Czech,27,4.0,/beer/profile/9784/453993/,5.4,89.0,12694,12.5,Vermont,Active,Sunday at 05:18 PM,2019-12-12,0,2,USA,Vermont,Pilsner,Bohemian / Czech,"MALT: Pilsner, Vienna HOPS: Saaz, Kazbek, Perle OG: 13.4°P"
Pleasant Pils,39,Highland Park Brewery,Pilsner - Bohemian / Czech,15,4.07,/beer/profile/52228/357185/,5.3,89.0,11235,5.9,California,Active,"Dec 28, 2021",2018-07-09,1,0,USA,California,Pilsner,Bohemian / Czech,None
Time for a Change,40,Anchorage Brewing Company,Pilsner - Bohemian / Czech,15,4.07,/beer/profile/24903/491884/,3.5,89.0,11241,5.65,Alaska,Active,"Jan 21, 2022",2020-06-27,1,0,USA,Alaska,Pilsner,Bohemian / Czech,Dry-hopped with Saaz hops. Naturally carbonated.
Skills Pils,41,Peekskill Brewery,Pilsner - Bohemian / Czech,41,3.96,/beer/profile/18168/91055/,5.4,88.0,13946,8.59,New York,Active,"Jan 14, 2022",2013-03-10,0,5,USA,New York,Pilsner,Bohemian / Czech,"Notes:  An international style Pilsner with German malts, New Zealand hops and Czech lager yeast."
Pilsner,42,Occidental Brewing Co.,Pilsner - Bohemian / Czech,48,3.95,/beer/profile/26607/167989/,4.8,88.0,14314,7.09,Oregon,Active,"Feb 26, 2022",2015-04-12,0,5,USA,Oregon,Pilsner,Bohemian / Czech,"Occidental’s take on the lager style that changed the beer world forever, this is a largely Bohemian-style pilsner with a bit of Bavarian pedigree. Crisp, clean, and dry, Czech Saaz hops crown this beautiful beer.  35 IBU"
Ball Lightning,43,Catskill Brewery,Pilsner - Bohemian / Czech,47,3.95,/beer/profile/36467/135723/,5.5,88.0,14320,7.59,New York,Active,"Apr 11, 2022",2014-09-01,1,2,USA,New York,Pilsner,Bohemian / Czech,Brewed with Saaz Hops.
Yclept,44,Threes Brewing,Pilsner - Bohemian / Czech,29,3.98,/beer/profile/37460/215340/,5.1,89.0,13367,6.28,New York,Active,"Aug 29, 2021",2016-02-17,0,2,USA,New York,Pilsner,Bohemian / Czech,"Clean, Complex, Tangerines, Silky, Crushable."
Union Pils Bohemian Lager,45,Noble Beast Brewing Company,Pilsner - Bohemian / Czech,12,4.09,/beer/profile/49340/478794/,4.9,89.0,11218,6.11,Ohio,Active,"Apr 14, 2022",2020-04-13,0,0,USA,Ohio,Pilsner,Bohemian / Czech,None
Prince Of Pilsen,46,Three Taverns Craft Brewery,Pilsner - Bohemian / Czech,92,3.92,/beer/profile/32375/136791/,5.0,88.0,15501,9.69,Georgia,Active,Thursday at 08:48 PM,2014-09-11,2,30,USA,Georgia,Pilsner,Bohemian / Czech,"Prince of Pilsen tributes the most popular beer style in the world. Originally brewed in the bohemian City of Pilsen in 1842, the new sensation was widely imitated and now makes up 90% of beer consumed around the globe. This Euro-style version is refreshingly crisp and dry hopped with Falconer's Flight 7Cs for a distinct citrus aroma and bite."
EZ PZ,47,Urban Roots Brewing & Smokehouse,Pilsner - Bohemian / Czech,22,4.0,/beer/profile/52529/350840/,5.0,89.0,12895,5.25,California,Active,"Feb 23, 2022",2018-06-09,1,0,USA,California,Pilsner,Bohemian / Czech,Dry hopped pilsner
Dakota Soul,48,Summit Brewing Company,Pilsner - Bohemian / Czech,87,3.92,/beer/profile/467/319770/,4.8,88.0,15531,8.93,Minnesota,Active,"Dec 31, 2021",2017-12-31,4,20,USA,Minnesota,Pilsner,Bohemian / Czech,"Barley is the soul of beer.  There’d be no Summit Dakota Soul without the Moravian 37 barley grown exclusively by our founder’s cousins near Rugby, North Dakota. Crafted from farm to finish right here in Grain Country, this traditional Czech-style pilsener features notes of English biscuits, honey and graham cracker, plus a floral, spicy hop finish thanks to genuine Saaz hops and the new American hop variety Loral."
Alpine Style,49,Interboro Spirits and Ales,Pilsner - Bohemian / Czech,19,4.01,/beer/profile/44293/347132/,5.0,89.0,12788,9.98,New York,Active,"Feb 06, 2022",2018-05-23,0,1,USA,New York,Pilsner,Bohemian / Czech,"Collaboration with Burial Beer Co.  Pours clear pure gold, with bright white foam. Mild noble hop aromas highlighted by delicate sweet malt notes and hints of fresh dough. Imagine an alpine slope covered in dried honeysuckle flowers on a warm Spring day + you’ve got a cold beer in your hand. A base of continental pilsner malt with a soft touch of kilned German malt. Fermented cold with bottom cropping yeast. Hopped with Mittlefruh and Saaz in the kettle - with a light dry hopping of Tettnanger."
Bohemian-Style Pilsner,50,Chuckanut Brewery,Pilsner - Bohemian / Czech,14,4.05,/beer/profile/47644/483548/,5.0,89.0,12010,6.91,Washington,Active,"Jun 16, 2021",2020-05-10,0,1,USA,Washington,Pilsner,Bohemian / Czech,None
Světlý Ležák 12º,51,Godspeed Brewery,Pilsner - Bohemian / Czech,13,4.06,/beer/profile/49615/403263/,5.0,89.0,11887,6.9,Ontario,Active,"Feb 16, 2022",2019-03-12,0,0,Canada,Ontario,Pilsner,Bohemian / Czech,"One cannot truly understand the depth of the Czech Brewing philosophy until he/she has made it to the country and hook up with the greatest beer inspirations and personalities of the Czech Republic.  Back in November 2018, Our brewmaster was selected to be part of a Czech Republic Trade Mission hosted by the Czech American Embassy and Canadian Consulate Economic & Trade Sections. This trip was such a revelation and by far far one of our brewmaster‘s best beer trips ever.   Godspeed‘s fascination for the Czech Brewing philosophy and culture is growing day by day. This Světlý Ležák 12º is only the begining of a long journey and friendship with the Czech brewing culture and people. We are now studying and sourcing some of the finest Czech raw materials for designing our new Czech Lagers made with the true Czech brewing philosophy.  We’ve never been that excited!  Na Zdraví!"
Wonderstuff,52,Bauhaus Brew Labs,Pilsner - Bohemian / Czech,169,3.9,/beer/profile/35769/129339/,5.4,87.0,16441,9.49,Minnesota,Active,"Mar 09, 2022",2014-07-17,8,30,USA,Minnesota,Pilsner,Bohemian / Czech,"Some ideas are simply ahead of their time. The stuff in this can, however, is right on schedule. We channeled a madman’s spirit and wild ingenuity to create this truly unique version of a classic style. Wonderstuff delivers the clean, balanced flavors you’d expect from a classic, old-world, Bohemian-style Pilsner, but with a more modern, powerful, citrus hop twist, expressing hints of lime peel, sweet grass and bright spice. Truly the stuff of wonder, this beer will change the way you think about light lagers.  IBUs: 30"
Premiant,53,Alma Mader Brewing,Pilsner - Bohemian / Czech,12,4.06,/beer/profile/55368/430150/,5.0,89.0,12080,4.68,Missouri,Active,"Feb 18, 2022",2019-07-26,0,0,USA,Missouri,Pilsner,Bohemian / Czech,"Brewed with two varieties of Bohemian Pilsner malt and Czech hops. Premiant means ""serving to reward"" and we too find it rewarding after a hard day's work."
Únětické Pivo 12°,54,Únětický Pivovar,Pilsner - Bohemian / Czech,42,3.93,/beer/profile/30117/86246/,4.9,88.0,15224,9.67,Czech Republic,Active,"Mar 02, 2022",2012-10-17,3,5,Czech Republic,,Pilsner,Bohemian / Czech,"A stunning example of the classic Czech Pils style, 12º Bohemian Lager uses all Czech barley and Saaz hops; it is fermented in open tanks and lagered. Unfiltered, unpasteurized and shipped cold. A rare treat for USA to have this in package. Extremely fresh. Shipped cold via our bulk tank containers and canned fresh in CT. Czech Republic."
Kicker,55,Outer Range Brewing Co,Pilsner - Bohemian / Czech,13,4.04,/beer/profile/47922/475430/,6.0,89.0,12485,8.17,Colorado,Active,"Mar 01, 2022",2020-03-25,0,1,USA,Colorado,Pilsner,Bohemian / Czech,"Hops: Zuper Saazer, Hallertau Mittelfruh"
Fresh Cut,56,Peak Organic Brewing Company,Pilsner - Bohemian / Czech,442,3.88,/beer/profile/13884/99000/,4.6,87.0,17572,11.86,Maine,Active,Yesterday at 10:16 PM,2013-09-06,18,130,USA,Maine,Pilsner,Bohemian / Czech,"Fresh Cut is a sensory experience. It conjures impressions of freshly chopped ingredients, a newly mowed lawn, or the air after a cooling rain. This pale lager delivers captivating notes of fruit, grass and spice - highlighted by the luscious Chinook hop. The beer finishes crisp, dry and refreshing, helping to enhance the colorful flavors up front. Obviously we’re crazy about this beer and had to use a thesaurus to express our feelings about it.  Fresh Cut is a dry-hopped pilsner. Chinook, Citra and Centennial hops provide aromas of citrus, grass and spice. Though the front palate is loud with IPA qualities, the finish is distinctly pilsner- crisp, dry and extremely refreshing. Enjoy!  SUGGESTED FOOD PAIRINGS: Fish Sandwiches, Lobsters, and meals eaten on rustic outdoors single-origin hand-hewn Amish furniture   38 IBU"
Sunny Ridge,57,Jack's Abby Brewing,Pilsner - Bohemian / Czech,428,3.88,/beer/profile/26520/112883/,5.2,87.0,17571,8.51,Massachusetts,Active,Monday at 12:09 AM,2014-02-13,18,55,USA,Massachusetts,Pilsner,Bohemian / Czech,"This aromatic lager features a sunshine hue, herbal noble hop nose, and a dry finish. We balance pilsner malt with a blend of European hops and polish it with extended periods of cold conditioning. You're royalty, now drink like it."
Bohemian Pilsner,58,von Trapp Brewing,Pilsner - Bohemian / Czech,371,3.88,/beer/profile/22512/126783/,5.4,87.0,17566,9.54,Vermont,Active,"May 22, 2022",2014-06-27,12,61,USA,Vermont,Pilsner,Bohemian / Czech,"Our award winning interpretation of a Bohemian Style Pilsner. Spicy, citrus peel botanicals combine with a dry, peppery finish to create a truly thirst-quenching lager. A beer that demands you take more than one sip.  42 IBU"
Weld Pilsner,59,WeldWerks Brewing Co.,Pilsner - Bohemian / Czech,22,3.97,/beer/profile/38773/481722/,5.4,88.0,14057,7.3,Colorado,Active,"May 21, 2022",2020-04-29,1,1,USA,Colorado,Pilsner,Bohemian / Czech,"Formerly Pilsner Urqweld  You know the drill, we're sure: Czech Pilsner. Crisp. Refreshing. Crushable. The perfect lawn mower / breakfast / camping / fishing / post-run / BBQ / boat party / #sundayfunday beer. It's good with everything and for every celebration or mundane day. Tuesday? YES! Wedding? YES! Chores? Double YES!! Whatever it is, this beer is the perfect way to indulge."
Turntable Pils,60,Great Lakes Brewing Co.,Pilsner - Bohemian / Czech,300,3.88,/beer/profile/73/215299/,5.3,87.0,17560,9.79,Ohio,Active,"Feb 07, 2022",2016-02-16,19,80,USA,Ohio,Pilsner,Bohemian / Czech,None
Pilsner,61,King Street Brewing Company,Pilsner - Bohemian / Czech,19,3.98,/beer/profile/27257/102069/,5.5,88.0,13836,8.54,Alaska,Active,"Jun 29, 2021",2013-10-18,0,2,USA,Alaska,Pilsner,Bohemian / Czech,None
OWL Old World Lager,62,Matchless Brewing,Pilsner - Bohemian / Czech,17,3.99,/beer/profile/47868/334322/,4.6,89.0,13630,7.27,Washington,Active,"Nov 04, 2020",2018-03-22,2,1,USA,Washington,Pilsner,Bohemian / Czech,None
Plain Top Pils,63,SingleCut Beersmiths,Pilsner - Bohemian / Czech,83,3.89,/beer/profile/30452/361333/,5.2,87.0,16926,5.66,New York,Active,"May 28, 2022",2018-08-02,1,7,USA,New York,Pilsner,Bohemian / Czech,"SUBTLE IS BEAUTIFUL. This new year-round pilsner is brewed with a unique combination of New Zealand, Czech and PNW hops and the absolute finest European malt. Finely detailed, refined, crisp, dry."
Lifeworld,64,Threes Brewing,Pilsner - Bohemian / Czech,14,4.01,/beer/profile/37460/534812/,4.5,89.0,13261,7.23,New York,Active,"May 01, 2022",2021-02-17,0,1,USA,New York,Pilsner,Bohemian / Czech,"Brewed with Czech ingredients, including a unique yeast from a small microbrewery in the Czech Republic, and an assertive amount of Czech Saaz hops.  We refer to Lifeworld as Yore's big brother. Yore starts at 10 Plato and finishes at 3.9%. Starting at 12 Plato, Lifeworld is a bigger beer, fuller-bodied with a fuller finish. It's luscious and rich-tasting, without sweetness."
Pilsner,65,Five Boroughs Brewing Co,Pilsner - Bohemian / Czech,27,3.94,/beer/profile/49298/290760/,5.0,88.0,15049,7.11,New York,Active,"Jun 04, 2022",2017-07-09,1,7,USA,New York,Pilsner,Bohemian / Czech,"Inspired by Czech tradition, our Pilsner is light in color and body with a clean, bitter finish. Czech Saaz hops impart soft floral and grassy aromas. This style is deceptively difficult to brew, and we’ve worked hard to perfect our take on this unassuming lager."
Pils,66,Utepils Brewing Co,Pilsner - Bohemian / Czech,34,3.92,/beer/profile/48325/266792/,5.0,88.0,15764,5.36,Minnesota,Active,"Jan 01, 2022",2017-02-04,0,1,USA,Minnesota,Pilsner,Bohemian / Czech,"We brew a brilliant, golden hued beer using Czech-grown barley and hops. Then ferment it with a Czech lager yeast strain. Ours is a crisp, refreshing beer that delivers a hoppy effervescence and subtle malt flavor."
Frusta,67,Carton Brewing Company,Pilsner - Bohemian / Czech,10,4.06,/beer/profile/26817/488806/,4.2,89.0,12514,8.13,New Jersey,Active,"Apr 12, 2022",2020-06-09,0,0,USA,New Jersey,Pilsner,Bohemian / Czech,"Hops: Hallertauers (Magnum, Mittelfruh, Blanc)  Malt: Bohemian Pilsner, Vienna, Sauermalz, Carafoam"
H-Town Pils,68,Saint Arnold Brewing Company,Pilsner - Bohemian / Czech,22,3.95,/beer/profile/337/527754/,5.2,88.0,14813,7.59,Texas,Active,"Apr 30, 2022",2021-01-05,0,1,USA,Texas,Pilsner,Bohemian / Czech,"H-Town Pils represents the evolution of lager and pilsner brewing at Saint Arnold and is a beer that represents the character of Houston - balanced, complex, and welcoming.  H-Town Pils is a classic Bohemian-style pilsner. This beer exemplifies what we as brewers look for in one of our favorite styles: malt and hop flavor working together in harmony and creating balance from beginning to end. It is Our Ideal Lager for Our Ideal City.  Original Gravity: 1.053 Bitterness: 29 IBU Malted Barley: 100% Pilsner Hops: Sterling and Saaz Yeast: Lager"
Lokal Resident,69,Lost Nation Brewing,Pilsner - Bohemian / Czech,24,3.94,/beer/profile/31645/513746/,5.5,88.0,15099,6.35,Vermont,Active,"Mar 12, 2022",2020-10-19,0,1,USA,Vermont,Pilsner,Bohemian / Czech,12° Czech Pale Lager
